coach,22,n
chinese,8,a
global,2,s
olors,2
ice,7,n
dish,1,n
arriages,3
saved,1,v
children,23,n
apartment,15,n
number,6,n
randmother,1
religion,1,n
father,23,n
young,1,n
environment,1,n
iraqi,8,a
program,6,n
friendly,1,a
roadway,1,n
case,9,n
ivil,1
woman,5,n
risk,8,n
end,5,n
sellers,1,n
novel,1,s
ridegroom,1
nets,8,n
school,9,n
pbs,2,n
louis,6,n
companies,27,n
democrat,10,n
things,5,n
race,2,n
science,3,n
small,4,s
govenor,1
added,2,v
drawings,1,v
pork,2,n
leaders,1,n
ssociates,1
holocaust,7,n
chef,8,n
rate,1,n
street,27,n
video,9,n
governor,8,n
lawyer,8,n
plead,1,v
nbc,9
hicago,1
investment,9,n
folk,1,n
blue,6,s
abc,2,n
business,17,n
paintings,8,v
showcase,1,n
religious,1,a
disease,9,n
asia,1,n
energy,7,n
merican,2
new,3,s
public,8,n
told,5,v
scenery,1,n
iran,8,n
funeral,9,n
olicy,1
french,7,n
water,8,n
minor,1,a
baseball,8,n
ethanol,8,n
iraq,16,n
tragedy,1,n
change,7,v
ocations,1
great,3,s
kids,4,n
daughter,7,n
employees,8,n
guilty,1,a
trial,9,n
airport,16,n
advertising,8,v
nited,2
military,19,a
residents,6,n
makes,3,v
struggle,1,v
named,6,v
diagramed,1,v
ago,5,s
family,36,n
transit,1,v
litigators,1,n
county,8,n
patriots,6,n
names,2,v
congolese,1,a
carter,3,n
armed,1,a
market,16,n
cost,6,n
jan,2,n
troops,17,n
army,8,n
illegal,1,a
hospital,6,n
destination,1,n
sports,4,n
music,9,n
films,7,n
candidates,1,n
manufacturer,1,n
prep,1,n
defendant,1,n
loving,6,v
israel,15,n
club,2,n
tax,10,v
company,29,n
freedom,1,n
testified,1,v
chocolate,8,n
phone,11,n
train,1,v
adult,1,s
rands,1,n
baby,5,n
cases,10,n
women,12,n
town,6,n
high,11,n
room,8,n
ocial,1
player,8,n
car,9,n
ride,1,v
work,19,v
abortion,2,n
reviews,2,n
movies,8,n
culture,1,n
of,3
fla,1
making,3,v
history,17,n
giants,6,n
violence,1,n
trump,2,v
estate,13,n
hooting,1,v
process,1,v
household,1,n
share,1,v
agent,2,n
ditor,2
states,17,n
numbers,1,n
david,3,n
viewers,9,n
ceremony,1,n
information,2,n
united,18,v
court,10,n
winter,10,v
january,6,n
travel,38,v
uther,1
ockey,1
write,4,v
earnings,1,v
comedy,8,n
beach,10,v
stock,10,n
fare,1,n
plant,7,v
designer,9,n
spitzer,4
isc,1
ethnic,1,s
president,27,n
pleaded,2,v
law,14,n
man,8,n
johnson,3,n
light,4,s
voice,1,n
season,27,v
obama,1
ards,1,n
chief,8,n
green,9,n
eath,1
healthcare,1,n
banks,1,n
preventive,1,n
democratic,6,a
landmarks,2,n
ourtroom,2
mexican,1,a
office,7,n
heater,1,n
rabbi,1,n
wedding,2,n
major,3,a
years,22,n
omney,1
earth,6,n
committee,7,n
ity,2
avenue,2,n
mayor,7,n
style,1,n
hildren,1
group,10,n
eather,1
sale,1,n
writing,6,v
late,4,s
resort,24,n
production,9,n
laces,2,v
listing,2,v
policy,9,n
mail,8,n
weeks,4,n
holiday,2,n
sauce,8,v
non,2,r
good,9,s
finance,2,n
civilian,1,a
food,15,n
auto,1,n
bama,1
eligion,1
half,2,s
schools,7,n
republican,11,n
day,6,n
bank,6,n
feet,1,n
meat,8,n
james,3,n
university,9,n
countries,8,n
ife,1
found,14,v
quarter,8,n
ports,2,v
aseball,1
square,8,v
financial,8,a
suspended,1,v
house,28,n
fish,8,n
artists,7,n
society,9,n
books,9,n
year,52,n
ew,6,n
insurance,10,n
hostel,1,n
living,1,v
entertainment,2,n
profit,1,v
god,8,n
motel,1,n
testify,1,v
research,9,v
investigation,9,n
health,20,n
ights,1
internet,10,n
medicine,1,n
calif,4,n
red,7,n
shows,10,v
wines,6,v
cars,7,n
million,23,n
free,7,v
ifestyle,1
basketball,9,n
york,25,n
plea,1,n
ord,1
card,1,n
care,15,n
ate,1,v
udiaism,1
times,12,n
thing,4,n
american,33,n
husband,7,v
homelessness,1,n
corrections,5,n
elatives,1
hussein,9,n
secretary,5,n
uilding,1
origin,2,n
cheese,8,v
ccord,1
bowl,6,n
hero,1,n
ove,1
ong,1
channels,1,n
delicious,1,s
spanish,1,n
vote,9,v
size,2,n
city,15,n
story,8,n
management,10,n
fair,1,s
service,17,n
bears,4,v
shooting,1,v
system,16,n
relations,2,n
fiction,2,n
attack,2,n
merica,1
orrow,1
listed,8,v
passed,1,v
palestine,3,n
white,10,n
john,3,n
finances,1,n
williams,3,n
software,10,n
murder,1,v
awyer,1
hotel,24,n
park,16,n
uper,1,s
environmental,7,a
part,8,n
doctors,7,n
oland,1
udi,1
hollywood,7,n
center,8,n
tex,3
kind,3,s
furnishings,1,n
manning,4,v
nations,11,n
project,8,v
chool,1
patients,9,n
accused,1,v
marriage,9,n
store,9,n
coat,1,v
briefing,1,v
hurch,1
sculpture,2,v
russia,9,n
published,7,v
sentenced,1,v
bridge,1,n
fashion,8,n
san,5
investors,9,n
correction,4,n
nteraction,1
locations,1,n
glass,6,n
tonight,3,r
medical,9,a
slam,1,v
rent,2,v
raq,1
st,7
mountain,6,n
wilson,2,n
oughlin,1
veteran,1,n
foxman,2
snow,8,n
dining,7,v
chairman,8,v
forces,9,n
online,11,a
interior,2,s
quarterback,7,n
play,9,v
mileage,1,n
theatre,1,n
transactions,1,n
price,8,n
systems,1,n
paid,5,v
uninsured,1,a
brooklyn,8,n
plan,14,v
letter,1,n
services,2,n
america,6,n
class,9,n
soviet,7,a
professor,6,n
orrections,1
playing,4,v
federal,15,a
neediest,9,s
tech,1,n
movie,8,n
wine,10,v
painting,7,v
away,1,r
atings,1
son,7,n
thomas,3,n
show,17,v
agreed,10,v
recipe,1,n
design,10,v
sites,9,v
radio,6,n
democrats,6,n
bedroom,9,n
soldiers,9,n
chicken,10,n
bail,1,v
networks,2,n
decade,1,n
producer,4,n
knicks,7
justice,9,n
menu,9,n
writes,5,v
winner,1,n
written,5,v
crime,1,n
penalty,1,n
bush,7,n
black,8,s
hockey,2,n
fuel,10,v
rinking,1
communist,9,n
rice,1,n
local,9,a
nj,1,n
photographs,1,v
ranking,1,v
hungarian,1,n
king,4,n
contracts,1,v
iesta,1
photography,1,n
television,9,n
trees,6,v
baghdad,6,n
ervice,1
international,9,a
buyer,1,n
oney,1
sunni,8,n
randfather,1
prime,2,s
bar,8,n
artist,9,n
married,9,a
ealthcare,1
taxes,1,v
teams,6,n
bad,3,s
miles,5,n
esidents,1
ohio,4,n
wrote,5,v
restaurants,6,n
shiite,9,n
learn,1,v
art,13,n
olitics,3
anning,3
national,9,a
sex,5,n
elected,1,v
officials,39,n
college,7,n
are,2,v
sea,1,n
nternet,1
transportation,2,n
news,3,n
flavor,1,n
best,3,s
points,8,n
israeli,7,a
hrysler,1
nuclear,8,a
review,9,n
representatives,1,n
state,36,n
won,6,v
pets,1,n
diamonds,1,n
ations,3
available,1,s
notice,8,n
men,6,n
terms,11,n
nature,2,n
team,12,n
jr,3,n
boss,1,n
efficiency,1,n
harvard,4,n
awards,2,n
oker,1,s
bituary,1
genre,7,n
police,11,v
lawsuit,1,n
ccomodation,1
league,15,n
climate,1,n
accident,1,n
brown,5,n
restaurant,8,n
country,7,n
drug,10,v
display,1,n
ouse,1,n
players,17,n
s,2,n
hite,1
bronx,8,n
senator,8,n
grooming,1,v
traded,1,v
asked,1,v
jersey,7,n
negotiation,1,n
and,5
groups,1,n
cancer,9,n
color,1,n
community,8,n
jets,6,n
anti,4,a
article,4,n
eediest,1
li,2,n
speak,1,v
arts,7,n
ocal,1
political,17,a
vacation,4,n
strategy,2,n
convicted,1,v
secret,6,s
offers,1,v
west,1,n
interest,1,n
killed,9,v
exhibition,8,n
firm,6,s
life,18,n
shopping,3,v
gay,6,s
eastern,1,s
drugs,8,v
omputer,1
republicans,5,n
gas,7,n
palestinian,7,a
al,2,n
fund,14,v
minister,10,n
ovies,1
child,6,n
prices,14,n
plants,8,v
criminal,2,s
senat,1
budget,6,n
value,1,n
air,8,n
will,1,v
teachers,9,n
newspaper,1,n
property,11,n
study,9,n
layer,1,n
layoff,1,n
bathrooms,8,n
century,9,n
resident,3,a
site,9,n
middle,9,n
prosecutor,1,n
properties,1,n
contract,13,v
in,1,s
foreign,9,a
technology,9,n
obituary,1,n
memorial,10,n
education,9,n
author,8,n
pay,7,v
make,8,v
administration,7,n
textile,1,a
economy,4,n
ews,1,n
party,11,n
european,8,a
development,10,n
oil,7,n
lawyers,8,n
ratings,1,v
social,1,a
closings,1,v
yesterday,2,r
director,14,n
bituaries,3
student,6,n
opinion,1,n
nation,1,n
colts,7,n
warming,1,s
recent,6,s
eams,2
jurors,1,n
charges,9,v
iraqis,7,n
no,1,r
ocean,1,n
media,1,n
china,9,n
mother,10,n
hearts,1,n
the,2
audio,1,n
peration,1
researchers,8,n
left,6,v
summer,1,n
onda,1
stores,8,n
sentence,1,n
money,10,n
laptop,1,n
executive,8,n
domestic,1,a
foot,6,n
fighters,1,n
rooms,2,n
victim,1,n
alternative,1,s
ist,1
eaths,2
web,10,n
death,14,n
campaign,11,n
field,5,n
residential,3,a
workers,7,n
demographic,1,a
nline,1
other,2,s
parents,19,n
board,11,n
beloved,6,s
lection,1
east,4,n
ski,8,v
ravel,1,v
real,16,s
vendor,1,n
government,31,n
africa,1,n
couple,1,n
test,7,v
game,17,n
judge,8,v
world,24,n
apple,8,n
amputation,1,n
lost,1,v
toyota,8,n
eep,1
ootball,1
offices,1,n
night,12,n
security,10,n
works,5,v
antique,1,s
www,4,n
amily,1
jews,7,n
deal,10,v
people,48,n
senate,10,n
church,18,n
back,6,v
dead,5,s
hair,6,n
clubs,1,n
growth,8,n
election,9,n
escape,1,n
home,18,n
ealth,3
dvice,1
est,1,n
caribbean,1,n
decision,1,n
fox,9,n
legal,10,a
seller,3,n
students,9,n
maliki,5
niversity,1
temple,1,n
patient,1,n
power,6,n
schedule,1,v
ocation,1
leadership,1,n
super,5,s
by,1,r
artin,1
faith,1,n
island,16,n
industry,1,n
citizens,1,n
location,5,n
o,1,n
drama,1,n
dinner,8,n
militia,1,n
testimony,2,n
executives,7,n
owl,1,n
clinton,7,n
casualty,1,n
civil,1,a
travelers,23,n
attorney,8,n
airlines,11,n
weather,10,v
homeless,1,s
parties,1,n
computer,9,n
area,1,n
spending,1,v
friends,8,n
museum,8,n
long,10,a
gallery,9,n
jewish,7,a
editor,12,n
series,10,n
cultures,1,n
war,32,n
irthday,1
billion,6,n
mailer,1,n
medium,1,n
jury,3,n
manufacturers,1,n
olidays,1
funds,8,v
brand,1,n
pastor,6,n
ford,8,n
ork,6
brain,5,n
gain,1,v
survived,6,v
line,6,n
he,2,n
made,7,v
signed,1,v
economic,2,s
emissions,8,n
played,4,v
minutes,1,n
called,2,v
partnerships,1,n
medication,1,n
deaths,9,n
tournament,1,n
sales,12,n
evidence,1,v
cbs,3
politics,6,n
ing,1
campus,7,n
film,9,n
cream,8,v
misstated,2,v
mutual,1,a
lemon,1,n
ingredients,1,n
percent,15,n
event,1,n
ny,3,n
politicians,2,n
book,8,n
branch,1,n
digital,10,a
department,6,n
europe,2,n
games,10,n
congress,9,n
ases,1,n
eyton,2
football,9,n
diet,1,n
otice,1
ather,1
brands,1,n
ransactions,2
presidential,10,a
sland,1
died,8,v
building,17,v
simon,1,n
spades,1,n
wife,13,n
space,8,n
microsoft,9
directors,1,n
time,25,n
prizes,1,v
